UID,Grad status
A6291,Graduate
A9979,Participant
A6922,Graduate
A4184,Graduate
A8335,Graduate
A3777,Participant
A8818,Graduate
A3545,Graduate
A8859,Graduate
A5366,Graduate
A8838,Graduate
A3142,Participant
A2825,Participant
A4761,Graduate
A1667,Graduate
A3719,Graduate
A4284,Graduate
A3362,Graduate
A3212,Graduate
A4916,Graduate
A3214,Graduate
A2931,Graduate
A9356,Graduate
A4745,Graduate
A5398,Graduate
A9882,Graduate
A7322,Graduate
A4776,Graduate
A3782,Graduate
A9859,Graduate
A9339,Graduate
A3738,Graduate
A5464,Graduate
A6152,Participant
A9378,Participant
A7141,Graduate
A2262,Graduate
A1673,Graduate
A3434,Graduate
A3284,Graduate
A6991,Graduate
A3759,Graduate
A8632,Graduate
A6169,Graduate
A3751,Graduate
A1744,Graduate
A3279,Graduate
A3625,Participant
A7578,Graduate
A4431,Graduate
A3976,Graduate
A2173,Graduate
A7757,Graduate
A9519,Graduate
A7744,Graduate
A1669,Graduate
A1879,Graduate
A3243,Graduate
A2641,Graduate
A7675,Graduate
A6714,Graduate
A2444,Graduate
A4943,Graduate
A7747,Graduate
A7388,Graduate
A2859,Graduate
A8372,Participant
A3613,Graduate
A1592,Graduate
A4194,Graduate
A4769,Graduate
A5789,Graduate
A8583,Graduate
A9749,Graduate
A6997,Graduate
A2217,Graduate
A3776,Graduate
A2737,Graduate
A8652,Graduate
A4818,Participant
A1753,Graduate
A7288,Graduate
A9276,Graduate
A3676,Graduate
A2657,Graduate
A9261,Graduate
A9315,Graduate
A8258,Graduate
A7716,Graduate
A1818,Graduate
A2998,Graduate
A6244,Graduate
A9272,Graduate
A7143,Graduate
A9253,Graduate
A5767,Graduate
A4138,Participant
A3587,Graduate
A7799,Graduate
A6959,Graduate
A7216,Graduate
A2679,Graduate
A9319,Graduate
A2453,Graduate
A5658,Graduate
A7424,Graduate
A7734,Graduate
A5788,Participant
A1728,Graduate
A4862,Graduate
A5382,Graduate
A1323,Graduate
A3495,Graduate
A9693,Graduate
A1424,Graduate
A4511,Graduate
A9214,Graduate
A6178,Graduate
A3894,Participant
A8865,Graduate
A4752,Participant
A3561,Graduate
A3785,Graduate
A3336,Graduate
A5547,Graduate
A7653,Graduate
A5999,Graduate
A8551,Graduate
A2745,Graduate
A8191,Graduate
A3181,Graduate
A1579,Graduate
A8168,Graduate
A4177,Graduate
A1242,Graduate
A4645,Participant
A3259,Graduate
A3656,Graduate
A7337,Graduate
A8257,Graduate
A8954,Graduate
A6793,Graduate
A8597,Graduate
A5118,Graduate
A1881,Graduate
A7621,Graduate
A8396,Graduate
A4666,Graduate
A4523,Graduate
A9114,Graduate
A8126,Graduate
A7976,Participant
A1914,Graduate
A1423,Graduate
A4637,Graduate
A4679,Graduate
A5292,Graduate
A6324,Graduate
A5426,Graduate
A3873,Graduate
A7188,Graduate
A8474,Graduate
A3863,Graduate
A4933,Graduate
A6688,Graduate
A7745,Participant
A8744,Graduate
A9449,Graduate
A7825,Graduate
A3967,Graduate
A2175,Graduate
A7293,Graduate
A5734,Graduate
A5432,Graduate
A7278,Graduate
A6465,Graduate
A8897,Graduate
A4517,Graduate
A4389,Graduate
A3289,Graduate
A7834,Graduate
A8627,Graduate
A4965,Graduate
A2695,Participant
A8971,Participant
A4127,Participant
A8117,Graduate
A3438,Graduate
A1868,Graduate
A7451,Graduate
A8845,Graduate
A3481,Graduate
A7467,Graduate
A8484,Graduate
A5795,Graduate
A7868,Graduate
A2926,Participant
A7321,Graduate
A8665,Graduate
A6838,Graduate
A5943,Graduate
A3993,Graduate
A1396,Graduate
A3952,Participant
A7515,Participant
A3733,Graduate
A8438,Graduate
A4162,Graduate
A6875,Graduate
A4385,Graduate
A7512,Graduate
A7274,Graduate
A3271,Graduate
A4458,Participant
A5173,Graduate
A3292,Participant
A8875,Graduate
A2235,Graduate
A4917,Graduate
A9283,Participant
A9631,Graduate
A9647,Graduate
A2334,Graduate
A1746,Graduate
A1921,Graduate
A8298,Graduate
A7413,Graduate
A9648,Participant
A6741,Graduate
A5644,Participant
A6546,Graduate
A2957,Graduate
A2933,Graduate
A9281,Graduate
A7128,Graduate
A3961,Graduate
A5191,Graduate
A7972,Graduate
A8635,Graduate
A3227,Graduate
A9815,Participant
A8334,Participant
A7826,Graduate
