UID,Status
A3188,NA
A1253,NA
A9717,NA
A4748,Graduated
A1886,Graduated
A9467,Graduated
A2484,NA
A3251,Graduated
A9367,Graduated
A8872,NA
A2521,Graduated
A2515,Graduated
A1187,Graduated
